bench,A,B,n,A_em,B_em,a_only,b_only,both,neither,diff_pp,mcnemar_p,boot_lo_pp,boot_hi_pp,helpful,harmful,neutral
Spider,B0,B5_v6,1034,0.7253,0.766,34,76,716,208,4.06,8e-05,2.13,6.0,76,34,924
Spider,B2_v5,B5_v6,1034,0.7476,0.766,8,27,765,234,1.84,0.00188,0.68,3.0,27,8,999
Spider,B4_v5,B5_v6,1034,0.7669,0.766,1,0,792,241,-0.1,1.0,-0.29,0.0,0,1,1033
BIRD,B0,B5_v6,500,0.204,0.312,6,60,96,338,10.8,0.0,8.0,13.6,60,6,434
BIRD,B2_v5,B5_v6,500,0.376,0.312,64,32,124,280,-6.4,0.00142,-10.2,-2.6,32,64,404
BIRD,B4_v5,B5_v6,500,0.34,0.312,15,1,155,329,-2.8,0.00052,-4.4,-1.4,1,15,484
