run_id,subset,incumbent,delta_ex,ci_low,ci_high,mcnemar_n01,mcnemar_n10,mcnemar_p_value,n_paired
b1_llama_3p1_8b_instruct_multidb30,multidb_30,b0_multidb30_v2,-0.2333,-0.4000,-0.1000,0,7,0.0156,30
b1_llama_3p1_8b_instruct_smoke10,smoke_10,b0_spider_smoke10,-0.1000,-0.3000,+0.0000,0,1,1.0000,10
b1_llama_3p1_8b_instruct_smoke25,smoke_25,b0_spider_smoke25,-0.2400,-0.4400,-0.0800,0,6,0.0313,25
b1_multidb30_v2,multidb_30,b0_multidb30_v2,-0.1667,-0.3000,-0.0333,0,5,0.0625,30
b1_qwen2p5_coder_14b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.0667,-0.2000,+0.0667,1,3,0.6250,30
b1_qwen2p5_coder_14b_instruct_multidb30,multidb_30,b0_multidb30_v2,-0.1667,-0.3000,-0.0333,0,5,0.0625,30
b1_qwen2p5_coder_14b_instruct_smoke10,smoke_10,b0_spider_smoke10,+0.0000,+0.0000,+0.0000,0,0,1.0000,10
b1_qwen2p5_coder_14b_instruct_smoke25,smoke_25,b0_spider_smoke25,-0.0400,-0.1200,+0.0000,0,1,1.0000,25
b1_qwen2p5_coder_7b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.0667,-0.2000,+0.0667,1,3,0.6250,30
b1_qwen_qwen2.5_7b_instruct_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.1000,-0.2333,+0.0333,1,4,0.3750,30
b1_qwen_qwen2.5_7b_instruct_multidb30,multidb_30,b0_multidb30_v2,-0.2333,-0.4000,-0.1000,0,7,0.0156,30
b1_qwen_qwen2.5_7b_instruct_smoke10,smoke_10,b0_spider_smoke10,+0.0000,+0.0000,+0.0000,0,0,1.0000,10
b1_qwen_qwen2.5_7b_instruct_smoke25,smoke_25,b0_spider_smoke25,-0.1200,-0.2800,+0.0000,0,3,0.2500,25
b1_spider_smoke10,smoke_10,b0_spider_smoke10,+0.0000,+0.0000,+0.0000,0,0,1.0000,10
b1_spider_smoke25,smoke_25,b0_spider_smoke25,+0.0000,+0.0000,+0.0000,0,0,1.0000,25
