run_id,subset,incumbent,delta_ex,ci_low,ci_high,mcnemar_n01,mcnemar_n10,mcnemar_p_value,n_paired
b3v3_qwen2p5_coder_7b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.0333,-0.1000,+0.0000,0,1,1.0000,30
b3v3_qwen2p5_coder_7b_multidb30,multidb_30,b0_multidb30_v2,-0.1333,-0.2667,-0.0333,0,4,0.1250,30
b3v3_qwen2p5_coder_7b_smoke25,smoke_25,b0_spider_smoke25,+0.0000,+0.0000,+0.0000,0,0,1.0000,25
b4_final_multidb30,multidb_30,b0_multidb30_v2,-0.4667,-0.6333,-0.3000,0,14,0.0001,30
b4_final_spider_smoke10,smoke_10,b0_spider_smoke10,-0.7000,-0.9000,-0.4000,0,7,0.0156,10
b4_spider_smoke10,smoke_10,b0_spider_smoke10,-0.8000,-1.0000,-0.5000,0,8,0.0078,10
b4v2_llama_3p1_8b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.1333,-0.3000,+0.0000,1,5,0.2188,30
b4v2_llama_3p1_8b_multidb30,multidb_30,b0_multidb30_v2,-0.3000,-0.4667,-0.1667,0,9,0.0039,30
b4v2_llama_3p1_8b_smoke10,smoke_10,b0_spider_smoke10,-0.2000,-0.5000,+0.0000,0,2,0.5000,10
b4v2_llama_3p1_8b_smoke25,smoke_25,b0_spider_smoke25,-0.2000,-0.4000,-0.0800,0,5,0.0625,25
b4v2_multidb30,multidb_30,b0_multidb30_v2,-0.2000,-0.3333,-0.0667,0,6,0.0313,30
b4v2_qwen2p5_coder_14b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.0667,-0.2000,+0.0667,1,3,0.6250,30
b4v2_qwen2p5_coder_14b_multidb30,multidb_30,b0_multidb30_v2,-0.0667,-0.1667,+0.0000,0,2,0.5000,30
b4v2_qwen2p5_coder_14b_smoke10,smoke_10,b0_spider_smoke10,+0.0000,+0.0000,+0.0000,0,0,1.0000,10
b4v2_qwen2p5_coder_14b_smoke25,smoke_25,b0_spider_smoke25,-0.0800,-0.2000,+0.0000,0,2,0.5000,25
b4v2_qwen2p5_coder_7b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.0667,-0.2000,+0.0667,1,3,0.6250,30
b4v2_spider_smoke10,smoke_10,b0_spider_smoke10,-0.2000,-0.5000,+0.0000,0,2,0.5000,10
b4v2_spider_smoke25,smoke_25,b0_spider_smoke25,+0.0000,+0.0000,+0.0000,0,0,1.0000,25
b4v3_qwen2p5_coder_7b_bird_minidev_30,bird_minidev_30,b0_qwen2p5_coder_7b_bird_minidev_30,-0.0667,-0.1667,+0.0000,0,2,0.5000,30
b4v3_qwen2p5_coder_7b_multidb30,multidb_30,b0_multidb30_v2,-0.1667,-0.3000,-0.0333,0,5,0.0625,30
b4v3_qwen2p5_coder_7b_smoke25,smoke_25,b0_spider_smoke25,+0.0000,+0.0000,+0.0000,0,0,1.0000,25
