bench,A,B,n,A_em,B_em,a_only,b_only,both,neither,diff_pp,mcnemar_p,boot_lo_pp,boot_hi_pp,helpful,harmful,neutral
Spider,B0,B6_v7,1034,0.7253,0.7679,36,80,714,204,4.26,5e-05,2.13,6.29,80,36,918
Spider,B2_v5,B6_v7,1034,0.7476,0.7679,12,33,761,228,2.03,0.00246,0.68,3.29,33,12,989
Spider,B4_v5,B6_v7,1034,0.7669,0.7679,8,9,785,232,0.1,1.0,-0.77,0.87,9,8,1017
Spider,B5_v6,B6_v7,1034,0.766,0.7679,8,10,784,232,0.19,0.81453,-0.68,0.97,10,8,1016
BIRD,B0,B6_v7,500,0.204,0.388,6,98,96,300,18.4,0.0,14.6,22.2,98,6,396
BIRD,B2_v5,B6_v7,500,0.376,0.388,24,30,164,282,1.2,0.49662,-1.6,4.0,30,24,446
BIRD,B4_v5,B6_v7,500,0.34,0.388,10,34,160,296,4.8,0.00039,2.4,7.4,34,10,456
BIRD,B5_v6,B6_v7,500,0.312,0.388,9,47,147,297,7.6,0.0,4.8,10.6,47,9,444
