bench,A,B,n,A_em,B_em,a_only,b_only,both,neither,diff_pp,mcnemar_p,boot_lo_pp,boot_hi_pp,helpful,harmful,neutral
BIRD,B6_v7,B7d_rich,500,0.388,0.392,14,16,180,290,0.4,0.85554,-1.6,2.4,16,14,470
BIRD,B7d_rich,B7c_profiles_only,500,0.392,0.332,40,10,156,294,-6.0,2e-05,-8.6,-3.4,10,40,450
BIRD,B7d_rich,B7e_none,500,0.392,0.332,40,10,156,294,-6.0,2e-05,-8.6,-3.2,10,40,450
BIRD,B7c_profiles_only,B7e_none,500,0.332,0.332,13,13,153,321,0.0,1.0,-2.0,2.0,13,13,474
BIRD,B6_v7,B7c_profiles_only,500,0.388,0.332,40,12,154,294,-5.6,0.00013,-8.6,-3.0,12,40,448
BIRD,B6_v7,B7e_none,500,0.388,0.332,32,4,162,302,-5.6,0.0,-8.0,-3.4,4,32,464
BIRD,B2_v5,B7d_rich,500,0.376,0.392,30,38,158,274,1.6,0.39612,-1.6,4.8,38,30,432
