benchmark,lane,run_id,n_total,n_completed,n_failed_runtime,schema_valid_rate,parse_ok_rate,dry_run_or_explain_ok_rate,execute_ok_rate,task_success_rate,official_comparable,diagnostic_only,model_planner,model_direct,harness_version,wall_time_sec,cost_proxy,artifact_dir,notes
lite,bq,lite_full_diagnostic_v23_bq,205,14,8,28.6%,42.9%,14.3%,14.3%,NA,FALSE,TRUE,Qwen3-Coder-30B-A3B-Instruct,Qwen2.5-Coder-7B-Instruct,v18+v22,731.3,bq_dry_run_only,outputs/spider2_lite/runs/lite_full_diagnostic_v23_bq,partial 14/205 OOM-poisoned by concurrent Snow runs
lite,sf,lite_full_diagnostic_v23_snow,207,70,70,0.0%,0.0%,NA,NA,NA,FALSE,TRUE,Qwen3-Coder-30B-A3B-Instruct,Qwen2.5-Coder-7B-Instruct,v18 schema-only,899.5,no_engine_calls,outputs/spider2_lite/runs/lite_full_diagnostic_v23_snow,CANCELLED 15 real OOM + 55 stub-aborted
lite,sqlite,n/a,135,0,0,NA,NA,NA,NA,NA,FALSE,FALSE,n/a,n/a,n/a,0,0,outputs/logs/spider2_lite_full_diagnostic_lane_breakdown_v23.md,non-comparable per benchmark policy; not run
snow,sf,snow_full_diagnostic_v23,547,32,32,0.0%,0.0%,NA,NA,NA,FALSE,TRUE,Qwen3-Coder-30B-A3B-Instruct,Qwen2.5-Coder-7B-Instruct,v18 schema-only,407.3,no_engine_calls,outputs/spider2_snow/runs/snow_full_diagnostic_v23,CANCELLED 32/32 OOM
dbt,dbt,dbt_full_diagnostic_v23,68,0,0,NA,NA,NA,NA,NA,FALSE,TRUE,Qwen3-Coder-30B-A3B-Instruct,Qwen2.5-Coder-7B-Instruct,v4 ablation,0,0,outputs/dbt_ablation/dbt_full_diagnostic_v23,BLOCKED CUBLAS_ALLOC_FAILED no GPU
lite,bq,lite_bq_v22_pilot50,50,50,0,54.0%,98.0%,44.0%,44.0%,NA,FALSE,TRUE,Qwen3-Coder-30B-A3B-Instruct,Qwen2.5-Coder-7B-Instruct,v18+v22,3600,bq_dry_run_only,outputs/spider2_lite/runs/lite_bq_v22_pilot50,prior baseline (Phase 22)
dbt,dbt,phase11_baseline,68,68,NA,NA,NA,NA,NA,13.2%,TRUE,FALSE,Phase11_model,n/a,Phase11,n/a,n/a,outputs/predictions/dbt_full_phase11,baseline-of-record (9/68)
